PRK_NM,PRK_CD,PRK_TYPE,CPCTY,CUR_PRK_CNT,CUR_PRK_TIME,CUR_PRK_YN,PAY_YN,RATES,TIME_RATES,ADD_RATES,ADD_TIME_RATES,ADDRESS,ROAD_ADDR,LNG,LAT
정곡빌딩,2957785,BS,34,,,N,Y,1000,15,1000,15,영등포구 여의도동 44-25,,126.929528,37.520582
홍우빌딩 앞 노상주차장(구),1551573,NS,9,,,N,Y,500,5,1000,10,영등포구 여의도동 4-3,,126.93043320999999,37.52102788888889
신흥증권앞 노상주차장(구),1551423,NS,11,,,N,Y,500,5,500,5,영등포구 여의도동 2-4,,126.92695733454546,37.524158614545456
태양빌딩앞 노상주차장(구),1561760,NS,10,,,N,Y,500,5,1000,10,영등포구 여의도동 4-4,,126.929855012,37.520616339
여의도공원앞2 노상주차장(구),1551334,NS,14,,,N,Y,500,5,1000,10,영등포구 여의도동 2-11,,126.92191413857142,37.526740791428566
롯데캐슬앞 노상주차장(구),1564328,NS,9,,,N,Y,500,5,1000,10,영등포구 여의도동 36-0,,126.92667931222223,37.52059295
舊MBC뒤(구),3177445,NS,63,,,N,Y,500,5,500,5,영등포구 여의도동 3-0,,126.93067692539682,37.52425135714286
원효대교 남단 공영주차장(시),1576530,NS,13,,,N,Y,160,5,160,5,영등포구 여의도동 5-0,,126.93689509923077,37.52233665230769
경도상가앞 노상주차장(구),1551803,NS,15,,,N,Y,500,5,1000,10,영등포구 여의도동 44-0,,126.93091137600001,37.519536294
산업은행앞(구),3125234,NS,11,,,N,Y,500,5,500,5,영등포구 여의도동 1-5,,126.92009003636363,37.52745978181818
렉싱턴호텔뒤 노상주차장(구),1564262,NS,11,,,N,Y,500,5,1000,10,영등포구 여의도동 13-0,,126.92208140181819,37.529419590909086
63스퀘어(63빌딩),2953581,BS,638,,,N,Y,2000,30,0,0,영등포구 여의도동 60-0,,126.939938,37.520253
여의도 사학연금(TP타워),3246783,BS,570,,,N,Y,1000,10,1000,10,영등포구 여의도동 27-2,,126.92284405231476,37.52169298376825
전국경제인연합회,3191526,BS,632,,,N,Y,6000,60,3000,30,영등포구 여의도동 28-1,,126.920211,37.522181
한국교직원공제회관,3083300,BS,341,,,N,Y,1000,10,1000,10,영등포구 여의도동 35-3,,126.925651,37.521822
63길 주차장(민영),1449599,NP,200,,,N,Y,2000,30,700,10,영등포구 여의도동 61-1,,126.9383746,37.51878318
이룸센터 주차장(민영),1580318,NP,101,,,N,Y,0,30,1000,10,영등포구 여의도동 17-13,,126.9179032,37.52687019
KBS본관뒤(구),3096819,NS,39,,,N,Y,500,5,500,5,영등포구 여의도동 1-9,,126.91563098205127,37.52412345128205
여의도공원 공영주차장(시),1915194,NS,48,,,N,Y,300,5,300,5,영등포구 여의도동 2-11,,126.91685,37.522600000000004
세우빌딩,3141219,BS,49,,,N,Y,3000,30,1000,10,영등포구 여의도동 10-0,,126.926235,37.530037
제일빌딩 주차장,2950982,BS,74,,,N,Y,2000,30,2000,30,영등포구 여의도동 44-35,,126.930835,37.519223
가든빌딩 주차장,2953583,BS,10,,,N,Y,2000,30,2000,30,영등포구 여의도동 45-18,,126.928637,37.519959
KBS별관 방문객 주차장,2942763,BS,272,,,N,Y,1000,10,1000,10,영등포구 여의도동 46-0,,126.929132,37.518462
여의도한강공원1주차장(63빌딩앞),1449041,BP,462,,,N,Y,2000,30,300,10,영등포구 여의도동 86-5,,126.93973139,37.52217837
여의도한강2주차장(마포대교남단),1448975,BP,171,,,N,Y,2000,30,300,10,영등포구 여의도동 84-4,,126.931198,37.528797
여의도한강4주차장(여의2교-하부파천교),1449043,BP,141,,,N,Y,2000,30,300,10,영등포구 여의도동 19-0,,126.913163,37.526097
여의도한강5주차장(성모병원앞),1449042,BP,217,,,N,Y,1000,30,200,10,영등포구 여의도동 63-0,,126.93576386,37.51696501
여의도한강3주차장(서강대교남단),1448976,BP,800,,,N,Y,2000,30,300,10,영등포구 여의도동 83-6,,126.924436,37.53240356
롯데캐슬 아이비,3175682,BS,1091,,,N,Y,2000,30,1000,10,영등포구 여의도동 43-4,,126.931715,37.520183
에리트빌딩,3193999,BS,39,,,N,Y,1000,10,1000,10,영등포구 여의도동 44-32,,126.930064,37.51965
KBS신관홀,2885734,BS,1135,,,N,Y,1000,10,1000,10,영등포구 여의도동 18-2,,126.915535,37.52631
익스콘벤처타워,3125755,BS,167,,,N,Y,1000,10,1000,10,영등포구 여의도동 15-24,,126.919617,37.527443
여의도우체국,3088630,BS,330,,,N,Y,1000,10,1000,10,영등포구 여의도동 35-1,,126.926353,37.522327
여의도공원앞(구),3103348,NS,14,,,N,Y,500,5,500,5,영등포구 여의도동 2-0,,126.91870727857143,37.52474825714285
메리어트 여의도파크센터,3083303,BS,339,,,N,Y,2000,10,2000,10,영등포구 여의도동 28-3,,126.918752,37.521249
